Title,Document,EPA Comment Letter Date,Federal Register Date,Lead Agency,Federal Cooperating Agency(ies),State
Richmond and the Hampton Roads Passenger Rail Project  Proposed Higher Speed Intercity Passenger Rail   VA,Draft,01/25/2010,12/11/2009,Federal Railroad Administration,,VA
Gulf of Alaska Navy Training Activities  Proposal to Support and Conduct Current  Emerging  and Future Training Activities  Implementation  Gulf of Alaska  AK,Draft,01/25/2010,12/11/2009,United States Navy,,AK
Disposition of Bureau of Mines Property  Twin Cities Research Center Main Campus  Implementation  Hennepin County  MN,Final,01/06/2010,12/11/2009,National Park Service,,MN
Moore Ranch In-Situ Uranium Recovery (ISR) Project  Proposal to Construct  Operate  Conduct Aquifer Restoration  and Decommission an In-Situ Recovery (ISR) Facility   NUREG-1910  Campbell County  WY,Draft,03/03/2010,12/11/2009,Nuclear Regulatory Commission,,WY
Nichols Ranch In-Situ Uranium Recovery (ISR) Project  Proposal to Construct  Operate  Conduct Aquifer Restoration  and Decommission and In-Situ Recovery Uranium Milling Facility  Campbell and Johnson Counties  WY,Draft,03/03/2010,12/11/2009,Nuclear Regulatory Commission,,WY
Lost Creek In-Situ Uranium Recovery (ISR) Project  Proposal to Construct  Operate  Conduit Aquifer Restoration  and Decommission an In-Situ Recovery (ISR) Uranium Milling Facility  Sweetwater County  WY,Draft,03/03/2010,12/11/2009,Nuclear Regulatory Commission,,WY
Comprehensive Ecosystem-Base Amendment 1 (CE-BA 1) for the South Atlantic Region  Implementation,Final,12/23/2009,12/11/2009,National Oceanic and Atmospheric Administration,,
Detroit Intermodal Freight Terminal (DIFT) Project  Proposes Improvement to Intermodal Freight Terminals in Wayne and Oakland Counties  MI,Final,01/29/2010,12/11/2009,Federal Highway Administration,,MI
Tropic to Hatch 138kV Transmission Line Project  Proposing Construction of a new 138 kV transmission Line that would replace some or all the existing 69 kV Transmission Line  Applications for Special-Use Permits and/or Right-of-Way Grants   Grand Staircase-Escalante National Monument  Management  Plan Amendment  Garfield County  UT,Draft,03/15/2010,12/11/2009,Forest Service,,UT
Martin Basin Rangeland Project  Reauthorizing Grazing on Eight Existing Cattle and Horse Allotments:  Bradshaw  Buffalo  Buttermilk  Granite Peak  Indian  Martin Basin  Rebel Creek  and West Side Flat Creek  Santa Rosa Ranger District  Humboldt-Toiyabe National Forest  NV,Final,01/11/2010,12/11/2009,Forest Service,,NV
Clear Creek Management Area Resource Management Plan (RMP)  Implementation  Portion of San Benito County and Fresno County  CA,Draft,03/03/2010,12/04/2009,Bureau of Land Management,,CA
Stanislaus National Forest Motorized Travel Management (17305) Plan  Implementation   Stanislaus National Forest  CA,Final,01/12/2010,12/04/2009,Forest Service,,CA
Partially Revised Tier 1 - Placer Parkway Corridor Preservation Project  Select and Preserve a Corridor for the Future Construction from CA-70/99 to CA 65  Placer and Sutter Counties  CA,Final,01/08/2010,12/04/2009,Federal Highway Administration,,CA
Rio de los Pinos Vegetation Management Project  Proposes to Salvage Engelmann Spruce Trees that have been killed by  or are Infested with  Spruce Beetle  Conejos Peak Ranger District  Rio Grande National Forest  Conejos  Rio Grande and Archuleta Counties  CO,Draft,01/14/2010,12/04/2009,Forest Service,,CO
Mormon Island Auxiliary Dam Modification Project  Addressing Hydrologic  Seismic   Static  and Flood Management Issues  Sacramento and El Dorado Counties  CA,Draft Supplement,01/22/2010,12/04/2009,Bureau of Reclamation,,CA
Rationalization of the Pacific Coast Groundfish Limited Entry Trawl Fishery  Amendment 20  Implementation  WA  OR and CA,Draft,01/19/2010,12/04/2009,National Oceanic and Atmospheric Administration,,CA - OR
Modoc National Forest Motorized Travel Management Plan  Implementation  National Forest Transportation System (NFTS)  Modoc  Lassen and Siskiyou Counties  CA,Final,01/22/2010,12/04/2009,Forest Service,,CA
Norbeck Wildlife Project  Proposing to Manage Vegetation to Benefit Game Animals and Bird  Black Hills  National Forest  Custer and Pennington Counties  SD,Draft,01/11/2010,11/27/2009,Forest Service,,SD
ADOPTION - BART-Oakland International Airport Connector  extending South from the existing Coliseum BART Station  about 3.2 miles  to the Airport Terminal Area  Alameda County  CA,Final,12/21/2009,11/27/2009,Federal Aviation Administration,,CA
Presidio Flood Control Project  Flood Control Improvements and Part ial Levee Relocation  Presidio  TX,Draft,01/12/2010,11/27/2009,International Boundary and Water Commission,,TX
Generic - License Renewal of Nuclear Plants for the Prairie Island Nuclear Generating Plant  Units 1 and 2  Supplement 39  NUREG-1437  Implementation  City of Red Wing  Dakota County . MN,Draft,01/29/2010,11/27/2009,Nuclear Regulatory Commission,,MN
Delta-Mendota Canal/California Aqueduct Intertie Project  Construction and Operation of a Pumping Plant and Pipeline Connection  San Luis Delta-Mendota Water Authority Project  Central Valley Project   Alameda and San Joaquin Counties  CA,Final,12/23/2009,11/27/2009,Bureau of Reclamation,,CA
Twin Ghost Project  Proposes to Implement Vegetation and Transportation Management Activities  Great Divide Ranger District  Chequamegon-Nicolet National Forest  Ashland  Bayfield  Sawyer Counties  WI,Draft,01/06/2010,11/27/2009,Forest Service,,WI
PROGRAMMATIC - Servicewide Benefits Sharing Project  To Clarify the Rights and Responsibilities of Researchers and National Park Service (NPS) Management in Connection with the Use of Valuable Discoveries  Inventions  and Other Developments  across the United States,Final,,11/27/2009,National Park Service,,
Chief Joseph Hatchery Program  Construction  Operation and Maintenance of a Chinook Salmon Hatchery Production Program  Confederated Tribes of the Colville Reservation (Colville Tribes)  Okanogan River and Columbia River  Okanogan County  WA,Final,12/28/2009,11/27/2009,Bonneville Power Administration,,WA
Bienville Offshore Energy Terminal (BOET) Deepwater Port License Application Amendment (Docket # USCG-2006-24644)  Proposes to Construct and Operate a Liquefied Natural Gas Receiving and Regasification Facility  Outer Continental Shelf of the Gulf of Mexico  South of Fort Morgan  AL,Draft Supplement,01/04/2010,11/20/2009,U.S. Coast Guard,,AL
North Metro Corridor Project  Proposed a Commuter Rail Transit from downtown Denver  Colorado  north to State Highway (SH) 7   in the Cities of Denver   Commerce City  Thornton  Northglenn  and Adams County   CO,Draft,01/15/2010,11/20/2009,Federal Transit Administration,,CO
Guam and Commonwealth of the Northern Mariana  Islands (CNMI) Military Relocation  Proposed Relocating Marines from Okinawa  Visiting Aircraft Carrier Berthing  and Army Air and Missile Defense Task Force  Implementation  GU,Draft,02/17/2010,11/20/2009,United States Navy,,GU
PROGRAMMATIC  - Louisiana Coastal Area (LCA) Beneficial Use of Dredged Material (BUDMAT) Program Study  To Establish the Structure and Management Architecture of the BUDMAT Program  Implementation  MS  TX and LA,Draft,01/04/2010,11/20/2009,U.S. Army Corps of Engineers,,
Mesaba Energy Project  Proposes to Design  Construct and Operate a Coal-Based Integrated Gasification Cycle(IGCC) Electric Power Generating Facility  Located in the Taconite Tax Relief Area (TTRA)  Itasca and St. Louis Counties  MN,Final,12/21/2009,11/20/2009,Department of Energy,,MN
Salt Timber Harvest and Fuel Hazard Reduction Project  Proposing Vegetation Management in the Salt Creek Watershed  South Fork Management Unit  Hayfork Ranger District  Shasta-Trinity National Forest  Trinity County  CA,Final,12/17/2009,11/20/2009,Forest Service,,CA
Saddle Road (HI-200) Improvements Project. Proposed Improvement from  Mamalahoa Highway (HI-190) to  Milepost 41  Hawaii County  HI,Draft Supplement,01/06/2010,11/20/2009,Federal Highway Administration,,HI
Fremont-Winema National Forests Invasive Plant Treatment  Propose to Treat up to 8 700 Acres of Invasive Plant Infestation Per Year  Klamath and Lake Counties  OR,Draft,12/28/2009,11/13/2009,Forest Service,,OR
Beaverslide Timber Sale and Fuel Treatment Project  Proposing to Harvest Commercial Timber and Treat Hazardous Fuels  Six Rivers National Forest  Mad River Ranger District  Trinity County  CA,Final,12/14/2009,11/13/2009,Forest Service,,CA
Amendment 31 to the Fishery Management Plan for Reef Fish Resources  Addresses Bycatch of Sea Turles in the Bottom Longline Component of the Reef Fish Fishery  Gulf of Mexico,Draft,12/07/2009,11/13/2009,National Oceanic and Atmospheric Administration,,
Ivanpah Solar Electric Generating System (07-AFC-5) Project  Proposal to Construct a 400-m Megawatt Concentrated Solar Power Tower  Thermal-Electric Power Plant  San Bernardino County  CA,Draft,02/11/2010,11/13/2009,Bureau of Land Management,,CA
Carrizo Plain National Monument  Draft Resource Management  Plan  Implementation  San Luis Obispo County and Portion of western  Kern County CA,Final,12/10/2009,11/13/2009,Bureau of Land Management,,CA
Bellefonte Site Single Nuclear Unit Project  Proposes to Complete or Construct and Operate a Single 1 100 - 1  200 MW Nuclear Generation Unit  Jackson County  AL,Draft Supplement,12/11/2009,11/13/2009,Tennessee Valley Authority,,AL
Fruit Growers Supply Company's Multi-Species Habitat Conservation Plan  Implementation  Authorization for Incidental Take Permit  Siskiyou County  CA,Draft,02/11/2010,11/13/2009,National Oceanic and Atmospheric Administration,,CA
Central Valley Project Water Supply Contracts Under Public Law 101-514 (Section 206)  Proposed Water Service Contracts with the El Dorado County Water Agency         El Dorado County  CA,Draft,10/14/2009,11/13/2009,Bureau of Reclamation,,CA
New Melones Lakes Area  Resource Management Plan  Implementation  Tuolumne and Calaveras Counties  CA,Draft,01/08/2010,11/13/2009,Bureau of Reclamation,,CA
Bald Mountain Mine North Operations Area Project  Proposes to Expand Current Mining Operations at several Existing Pits  Rock Disposal Areas  Heap Leach Pads  Processing Facilities  and Interpit Area  Combining the Bald Mountain Mine Plan of Operations Boundary and the Mooney Basin Operation Area Boundary  White Pine County  NV,Final,12/11/2009,11/13/2009,Bureau of Land Management,,NV
Brevard County  Florida Hurricane and Storm Damage Reduction Project  To Reduce the Damages Caused by Erosion and Coastal Storms to Shorefront Structures Along the Mid-Reach Segment  Implementation  Brevard County  FL,Draft Supplement,11/30/2009,11/13/2009,U.S. Army Corps of Engineers,,FL
Chattahoochee River National Recreation Area General Management Plan  Preferred Alternative is F  Future Directions for the Management  and Use of Chattachoochee River National Recreation Area   Implementation  Chattahoochee River  Atlanta  GA,Final,12/09/2009,11/13/2009,National Park Service,,GA
NorthMet Project  Proposes to Construct and Operate an Open Pit Mine and Processing Facility  Located in Hoyt Lakes - Babbitt Area of St. Louis County  MN,Draft,02/18/2010,11/06/2009,U.S. Army Corps of Engineers,,MN
Criminal Alien Requirement 9 Project  Proposal to Contract with one or more Private Contractors to House up to 2 500 Federa  Low-Security  Adult Male  Non-US Citizen  Criminal Aliens at Contractor Owned and Operated Correctional Facilities  Located in Baldwin  MI and/or Lake City  FL,Draft,12/10/2009,11/06/2009,Bureau of Prisons,,MI
Piute Fire Restoration Project  Proposes to Salvage Dead and Dying Trees  Treat Excess Fuels  and Plant Trees  Kern River Ranger District  Sequoia National Forest  Kern County  CA,Draft,12/18/2009,11/06/2009,Forest Service,,CA
Deadlog Vegetation Management Project  To Implement Treatments that would Reduce the Risk of High Intensity  Stand Replacement Wildlife and the Risk of Heavy Tree Mortality from Insects and Disease  Deschutes National Forest Lands  Deschutes County  OR,Final,11/05/2009,11/06/2009,Forest Service,,OR
Kemper County Integrated Gasification Combined-Cycle (IGCC) Project  Construction and Operation of Advanced Power Generation Plant  U.S. Army COE Section 404 Permit  Kemper County  MS,Draft,12/18/2009,11/06/2009,Department of Energy,,MS
ON Line Project  (Previously Known as Ely Energy Center) Proposed 236-mile long 500 kV Electric Transmission Line from a new substation near Ely  Nevada approximately 236 mile south to the existing Harry Allen substation near Las Vegas  Clark  Lincoln  Nye and White Pine Counties  NV,Draft Supplement,12/10/2009,11/06/2009,Bureau of Land Management,,NV
Federal Reserve Bank of San Francisco  Propose to sell the Property at 1015 Second Avenue that is Eligible for Listing on the National Register of Historic Places  located in Seattle  WA,Draft,12/21/2009,11/06/2009,Federal Reserve Bank of San Francisco,,WA
Cumberland Gap National Historical Park  General Management Plan  Implementation  Middlesboro  KY,Draft,01/04/2010,11/06/2009,National Park Service,,KY
Y-12 National Security Complex Project  to Support the Stockpile Stewardship Program and to Meet the Mission Assigned to Y-12  Oak Ridge  TN,Draft,01/29/2010,10/30/2009,National Nuclear Security Administration,,TN
Joint Readiness Training Center and Fort Polk Land Acquisition Program  Purchase and Lease Lands for Training and Management Activities  in the Parishes of Vernon  Sabine  Natchitoches  LA,Draft,12/14/2009,10/30/2009,United States Army,,LA
Amendment 16 to the Northwest Multispecies Fishery Management Plan  Propose to Adopt  Approval and Implementation Measures to Continue Formal Rebuilding Program for Overfishing and to End Overfishing on those Stock where it Occurring  Gulf of Maine,Final,11/30/2009,10/30/2009,National Oceanic and Atmospheric Administration,,
