Title,Document,EPA Comment Letter Date,Federal Register Date,Lead Agency,Federal Cooperating Agency(ies),State
Ballville Dam Project,Draft Supplement,04/11/2016,02/26/2016,Fish and Wildlife Service,,OH
San Elijo Lagoon Restoration Project,Final,03/28/2016,02/26/2016,U.S. Army Corps of Engineers,,CA
Durham-Orange Light Rail,Final,03/02/2016,02/26/2016,Federal Transit Administration,"EPA, FHWA, USACE",NC
Ochoco Summit Trail System,Draft Supplement,04/04/2016,02/19/2016,Forest Service,,OR
BEH Rangeland Allotments,Final,,02/19/2016,Forest Service,,CA
PROGRAMMATIC - Deepwater Horizon Oil Spill Final Programmatic Damage Assessment and Restoration Plan,Final,,02/19/2016,National Oceanic and Atmospheric Administration,"USDA, DOI, EPA",AL - FL - MS - TX - LA
Colville National Forest Plan Revision,Draft,,02/19/2016,Forest Service,,WA
Weminuche Landscape Grazing Analysis,Draft,,02/19/2016,Forest Service,,CO
Cano Martin Pena Ecosystem Restoration Project,Final,,02/19/2016,U.S. Army Corps of Engineers,,PR
Rock Creek Mine Project,Second Draft Supplemental,,02/19/2016,Forest Service,EPA,MT
"Generic - License Renewal of Nuclear Power Plants Regarding LaSalle County Station, Units 1 and 2, Supplement 57",Draft Supplement,04/04/2016,02/19/2016,Nuclear Regulatory Commission,,IL
Middle Fork Weiser River Landscape Restoration Project,Draft,03/29/2016,02/19/2016,Forest Service,,ID
Gulf of Mexico OCS Oil and Gas Lease Sale 2016 Western Planning Area Lease Sale 248,Final Supplement,03/21/2016,02/19/2016,Bureau of Ocean Energy Management,,LA - TX
Tenmile South Helena Project,Draft,,02/19/2016,Forest Service,BLM,MT
I-5 Corridor Reinforcement Project,Final,,02/12/2016,Bonneville Power Administration,USACE,WA - OR
I-94 East-West Corridor (70th St - 16th St) Milwaukee County WI (Project ID 1060-27-00),Final,03/10/2016,02/12/2016,Federal Highway Administration,"NPS, USACE",WI
Blackfoot Travel Plan (Non-Winter),Final,,02/05/2016,Forest Service,,MT
Arapahoe Basin Ski Area Projects,Draft,,02/05/2016,Forest Service,,CO
North and West Big Hole Allotment Mangement Plans,Final,02/12/2016,02/05/2016,Forest Service,,MT
"Proposed Tailings Storage Facility, Ray Mine",Draft,05/03/2016,02/05/2016,U.S. Army Corps of Engineers,"BIA, BLM, EPA",AZ
I-80 and State Street Interchange,Draft,03/21/2016,02/05/2016,Federal Highway Administration,ACHP,UT
Magone Project,Draft,03/21/2016,02/05/2016,Forest Service,,OR
Mamaroneck and Sheldrake Rivers Flood Risk Management Village of Mamaroneck General Reevaluation,Draft,03/07/2016,01/29/2016,U.S. Army Corps of Engineers,,NY
Lassen National Forest Over-Snow Vehicle(OSV) Use Designation,Draft,03/16/2016,01/29/2016,Forest Service,,CA
Kahler Dry Forest Restoration,Final,03/14/2016,01/29/2016,Forest Service,,OR
Assateague Island National Seashore General Management Plan,Draft,,01/29/2016,National Park Service,,MD - VA
Shoreline II Outfitter/Guide (formerly Shoreline II Outfitter and Guide Management Plan),Draft,03/07/2016,01/29/2016,Forest Service,,AK
SH 249 Extension,Final,02/19/2016,01/29/2016,Federal Highway Administration,"DOI, EPA, USACE",TX
West Sacramento Project,Final,02/22/2016,01/22/2016,U.S. Army Corps of Engineers,,CA
American River Common Features General Reevaluation Report Environmental Impact Statement/Environmental Impact Report,Final,02/22/2016,01/22/2016,U.S. Army Corps of Engineers,,CA
"Mississippi Coastal Improvements Program, the Comprehensive Barrier Island Restoration",Final Supplement,02/22/2016,01/22/2016,U.S. Army Corps of Engineers,"USDA, DOT, DOI, EPA, FEMA, USFWS, NMFS, NOAA, NPS",AL - MS
Baton Rouge Loop Tier 1,Final,02/26/2016,01/22/2016,Federal Highway Administration,"USACE, USCG",LA
2016-2020 Fernow Experimental Forest,Final,,01/22/2016,Forest Service,,WV
1800 North (SR-37) Project,Final,,01/15/2016,Federal Highway Administration,"USACE, USAF, USA",UT
Wallowa-Whitman National Forest Invasive Plants Treatment Project,Final Supplement,02/16/2016,01/15/2016,Forest Service,,OR - ID
WITHDRAWN - Bear Lodge Project,Draft,,01/15/2016,Forest Service,"NPS, USACE",WY
Elk Late-Successional Reserve Enhancement Project,Draft,02/29/2016,01/15/2016,Forest Service,,CA
Johnson Bar Fire Salvage Project,Final,02/16/2016,01/15/2016,Forest Service,,ID
Glen Canyon Dam Long-Term Experimental and Management Plan,Draft,05/09/2016,01/15/2016,Bureau of Reclamation,"BIA, USFWS, WAPA, NPS",AZ - CA - CO - NM - NV - UT - WY
Federal Bureau of Investigation Central Records Complex,Final Supplement,,01/15/2016,General Services Administration,,VA
Red Snapper Allocation Amendment 28 to the Fishery Management Plan for the Reef Fish Resources of the Gulf of Mexico,Final,02/16/2016,01/15/2016,National Oceanic and Atmospheric Administration,,FL - AL - LA - MS - TX
Programmatic - Long Island Sound Dredged Material Management Plan,Final,02/16/2016,01/15/2016,U.S. Army Corps of Engineers,,CT - NY - RI
I-70 East,Final,03/02/2016,01/15/2016,Federal Highway Administration,"EPA, FTA, USACE",CO
Wilton Rancheria Fee-to-Trust and Casino Project,Draft,02/25/2016,01/15/2016,Bureau of Indian Affairs,EPA,CA
PROGRAMMATIC - Ash Impoundment Closure,Draft,03/07/2016,01/08/2016,Tennessee Valley Authority,,AL - KY - TN
Fire Island National Seashore Final White-tailed Deer Management Plan,Final,,01/08/2016,National Park Service,,NY
Upper Llagas Creek Flood Protection Project,Draft,02/16/2016,12/31/2015,U.S. Army Corps of Engineers,,CA
"Lower Yaak, O'Brien, Sheep Project",Draft,,12/31/2015,Forest Service,,MT
Panoche Valley Solar Project,Final,02/01/2016,12/31/2015,U.S. Army Corps of Engineers,USFWS,CA
"Generic - License Renewal of Nuclear Plants, Supplement 38, Volume 5, Regarding Indian Point Nuclear Generating Unit Nos. 2 and 3",Second Draft Supplemental,03/04/2016,12/31/2015,Nuclear Regulatory Commission,,NY
Center Horse Landscape Restoration Project,Draft,,12/31/2015,Forest Service,,MT
Regional Connector Transit Corridor,Final Supplement,,12/24/2015,Federal Transit Administration,,CA
Transbay Transit Center Program,Draft Supplement,,12/24/2015,Federal Transit Administration,FRA,CA
Southeast Market Pipelines Project,Final,,12/24/2015,Federal Energy Regulatory Commission,USACE,FL - AL - GA
Gap Landscape Restoration Project,Draft,02/08/2016,12/24/2015,Forest Service,,OR
Herbert Hoover Dike Dam Safety Modification Study,Draft,02/23/2016,12/24/2015,U.S. Army Corps of Engineers,,FL
ADOPTION - Southern Flow Corridor Project,Final,,12/18/2015,National Oceanic and Atmospheric Administration,,OR
Carcass Management During a Mass Animal Health Emergency,Final,,12/18/2015,Animal and Plant Health Inspection Service,,PRO
"Military Readiness Activities at Naval Weapons Systems Training Facility Boardman, OR",Final,01/19/2016,12/18/2015,United States Navy,FAA,OR - WA
Upper Truckee River and Marsh Restoration Project,Final,,12/18/2015,Bureau of Reclamation,,CA
Draft Section 4(f) Evaluation for the Baltimore & Potomac Tunnel Project,Draft,02/26/2016,12/18/2015,Federal Railroad Administration,FTA,MD
Montanore Project,Final,,12/18/2015,Forest Service,BPA,MT
Southern Edwards Plateau Habitat Conservation Plan,Final,01/07/2016,12/18/2015,Fish and Wildlife Service,,TX
Regional Management of Recreational Red Snapper Amendment 39 to the Fishery Management Plan for the Reef Fish Resources in the Gulf of Mexico,Draft,,12/18/2015,National Marine Fisheries Service,,FL - AL - LA - MS - TX
National Wildlife Refuge System Revision of Regulations Governing Non-Federal Oil and Gas Activities,Draft,,12/11/2015,Fish and Wildlife Service,,REG - NAT
Centennial Corridor Project,Final,01/11/2016,12/11/2015,California Department of Transportation,"DOI, EPA, FEMA, USFWS, USACE",CA
Merced River and Merced Falls Hydroelectric Projects,Final,01/11/2016,12/11/2015,Federal Energy Regulatory Commission,,CA
"North Cumberland Wildlife Management Area, Tennessee Lands Unsuitable for Mining",Draft,,12/11/2015,Office of Surface Mining,"EPA, USFWS, NPS",TN
US 70 Havelock Bypass,Final,01/11/2016,12/11/2015,Federal Highway Administration,"USFS, USACE",NC
Green-Horse Habitat Restoration and Maintenance Project,Final,,12/11/2015,Forest Service,,CA
Backcountry Management Plan Grand Canyon National Park,Draft,04/01/2016,12/11/2015,National Park Service,,AZ
Glade Rangeland Management,Draft,,12/04/2015,Forest Service,,CO
"East Everglades Expansion Area, Land Acquisition",Final,12/23/2015,12/04/2015,National Park Service,,FL
Beaverhead - Deerlodge National Forest Land & Resource Management Plan to comply with District of Mont Court Order,Third Draft Supplemental,,12/04/2015,Forest Service,,MT
Military Readiness Activities at Fallon Range Training Complex,Final,01/04/2016,12/04/2015,United States Navy,BLM,NV
Copper Flat Copper Mine,Draft,03/04/2016,12/04/2015,Bureau of Land Management,,NM
Coordinated Long-Term Operation of the Central Valley Project and State Water Project,Final,01/04/2016,12/04/2015,Bureau of Reclamation,,CA
Donlin Gold Project,Draft,05/31/2016,11/27/2015,U.S. Army Corps of Engineers,"BLM, EPA, USFWS",AK
Generic - License Renewal of Nuclear Plants Regarding Braidwood Station Units 1 and 2,Final,,11/27/2015,Nuclear Regulatory Commission,,IL
Rim Fire Reforestation,Draft,01/11/2016,11/27/2015,Forest Service,,CA
Butte Regional Conservation Plan,Draft,06/02/2016,11/27/2015,Fish and Wildlife Service,NMFS,CA
"Standards for the Growing, Harvesting, Packing, and Holding of Produce for Human Consumption",Final,,11/27/2015,Food and Drug Administration,USDA,PRO
ADOPTION - Jordan Cove Energy and Pacific Connector Gas Pipeline Project,Final,,11/20/2015,Forest Service,,OR
Roan Plateau Planning Area Draft Resource Management Plan Amendment,Draft Supplement,,11/20/2015,Bureau of Land Management,"EPA, USFWS",CO
Early Site Permit at PSEG Site,Final,12/28/2015,11/20/2015,Nuclear Regulatory Commission,USACE,NJ
Tongass Land and Resource Management Plan Amendment,Draft,02/22/2016,11/20/2015,Department of Agriculture,DOI,AK
VOID - Northern Pass Transmission Line Project,Draft Supplement,,11/20/2015,Department of Energy,"EPA, USFS, USACE",NH
Previously Issued Oil and Gas Leases in the White River National Forest,Draft,,11/20/2015,Bureau of Land Management,"EPA, USFS",CO
Magnolia LNG and Lake Charles Expansion Projects,Final,12/21/2015,11/20/2015,Federal Energy Regulatory Commission,"DOE, DOT, EPA, USACE, USCG",LA
Coast Corridor Improvements,Final,,11/20/2015,Federal Railroad Administration,FRA,CA
Complete 540 Triangle Expressway Southeast Extension,Draft,01/04/2016,11/20/2015,Federal Highway Administration,,NC
Rulemaking for Colorado Roadless Areas,Draft Supplement,,11/20/2015,Forest Service,"BLM, OSM",CO
North Fork Wells of Eagle Creek,Final,12/22/2015,11/20/2015,Forest Service,,NM
Targhee National Forest Lynx Analysis Units,Draft,,11/20/2015,Forest Service,,ID
ADOPTION - Jordan Cove Energy and Pacific Connector Gas Pipeline Project,Final,,11/20/2015,Bureau of Land Management,"BR, DOE, DHS, DOT, EPA, USACE, FERC, USFS",OR
Salmon-Challis National Forest Invasive Plant Treatment,Final,12/30/2015,11/13/2015,Forest Service,,ID
NorthMet Mining Project and Land Exchange,Final,12/21/2015,11/13/2015,U.S. Army Corps of Engineers,"EPA, USFS",MN
Plains and Eastern Clean Line Transmission Line Project,Final,12/11/2015,11/13/2015,Department of Energy,"BIA, EPA, USFWS, NRCS, TVA, USACE",OK - AR - TN - TX
Desert Renewable Energy Conservation Plan Proposed Land Use Plan Amendment,Final,12/14/2015,11/13/2015,Bureau of Land Management,USFWS,CA
Analyze Impacts of NOAA's National Marine Fisheries Service Proposed 4(d) Determination under Limit 6 for Five Early Winter Steelhead Hatchery Programs in Puget Sound,Draft,12/21/2015,11/13/2015,National Oceanic and Atmospheric Administration,,WA
Generic - License Renewal of Nuclear Plants:  Supplement 56 Regarding Fermi 2 Nuclear Power Plant,Draft,12/21/2015,11/13/2015,Nuclear Regulatory Commission,,MI
NEC FUTURE Tier 1  Part 1 of 4,Draft,02/16/2016,11/13/2015,Federal Railroad Administration,FTA,CT - NY - DC - DE - MA - MD - NJ - NY - PA - RI
FBI Headquarters Consolidation,Draft,,11/06/2015,General Services Administration,"NCPC, NPS",DC - MD - VA
Southline Transmission Project,Final,12/07/2015,11/06/2015,Bureau of Land Management,"BR, DOD, EPA, USFWS, USFS, NPS, USACE, USA, WAPA",NM - AZ
Great Northern Transmission Line Project,Final,12/03/2015,11/06/2015,Department of Energy,,MN
Osage County Oil and Gas,Draft,01/15/2016,11/06/2015,Bureau of Indian Affairs,EPA,OK
Monomoy National Wildlife Refuge Comprehensive Conservation Plan,Final,12/07/2015,11/06/2015,Fish and Wildlife Service,,MA
New England Clean Power Link Project,Final,12/07/2015,11/06/2015,Department of Energy,"EPA, USACE, USCG",VT
Sweetheart Lake Hydroelectric Project¿ FERC Project No. 13563-003,Draft,12/14/2015,11/06/2015,Federal Energy Regulatory Commission,USACE,AK
NHPA Section 106 Consultation: Reconfiguration of VA Black Hills Health Care System,Draft,,11/06/2015,Department of Veteran Affairs,,SD - NE - WY
Moose-Wilson Corridor Draft Comprehensive Management Plan,Draft,,10/30/2015,National Park Service,,WY
Greater Sage Grouse Bi-State Distinct Population Segment Forest Plan Amendment,Revised Final,,10/30/2015,Forest Service,"BLM, BLM",NV - CA
Delta Research Station Project: Estuarine Research Station and Fish Technology Center,Draft,12/14/2015,10/30/2015,Fish and Wildlife Service,,CA
Glades Reservoir Water Supply Project,Draft,02/16/2016,10/30/2015,U.S. Army Corps of Engineers,EPA,GA
"Construction Permit for the SHINE Medical Radioisotope Production Facility, Final Report, NUREG-2183",Final,11/30/2015,10/30/2015,Nuclear Regulatory Commission,DOE,WI
Proposed Port of Gulfport Expansion Project,Draft,12/14/2015,10/30/2015,U.S. Army Corps of Engineers,"EPA, NMFS",MS
Schofield Generating Station Project U.S. Army Garrison-Hawaii,Final,11/23/2015,10/30/2015,United States Army,,HI
Southern Flow Corridor Project,Final,11/27/2015,10/30/2015,Federal Emergency Management Agency,"USFWS, NOAA, USACE",OR
Revision of 9B Regulations Governing Non-Federal Oil And Gas Activities,Draft,,10/30/2015,National Park Service,,REG - AL - CA - CO - FL - IN - KS - KY - LA - MS - MT - ND - NM - OH - OK - PA - TN - TX - UT - VA - WV - WY
I-26 Asheville Connector,Draft,,10/23/2015,Federal Highway Administration,USACE,NC
Saddle Lakes Timber Sale,Final,11/23/2015,10/23/2015,Forest Service,,AK
Potrero HOPE SF Master Plan,Final,,10/23/2015,Department of Housing and Urban Development,,CA
Regulatory Amendment 16 to the Fishery Management Plan for the Snapper-Grouper Fishery of the South Atlantic Region Changes to the,Draft,,10/23/2015,National Marine Fisheries Service,,FL - FL - GA - NC - SC
Port Ambrose Deepwater Port Application,Final,,10/16/2015,U.S. Coast Guard,"BOEM, DOD, DOS, DOT, DOI, EPA, FAA, USFWS, NMFS, NOAA, USACE, MARAD",NY - NJ
"Divert Activities and Exercises, Commonwealth of the Northern Mariana Islands",Revised Draft,12/14/2015,10/16/2015,United States Air Force,FAA,GU
Nebraska Highway 12 Niobrara East and West,Draft,11/23/2015,10/09/2015,U.S. Army Corps of Engineers,"EPA, FHWA, USFWS, NPS",NE
Next NGA West Campus in the Greater St. Louis Metropolitan Area,Draft,11/23/2015,10/09/2015,National Geospatial-Intelligence Agency,USAF,MO - IL
Bear River Narrows Hydroelectric Project-FERC Project 12486-008,Draft,11/30/2015,10/09/2015,Federal Energy Regulatory Commission,,ID
Jordan Cove Energy and Pacific Connector Gas Pipeline Project,Final,11/06/2015,10/09/2015,Federal Energy Regulatory Commission,"BLM, BR, DOE, DOT, EPA, USFWS, USFS, USACE, USCG",OR
Scorpion Pier Replacement,Draft,12/18/2015,10/09/2015,National Park Service,,CA
PROGRAMMATIC - Deepwater Horizon Oil Spill: Draft Programmatic Damage Assessment and Restoration Plan,Draft,,10/05/2015,National Oceanic and Atmospheric Administration,"USDA, DOI, EPA",LA - AL - FL - MS - TX
Los Angeles River Ecosystem Restoration Integrated Feasibility Report,Final,10/29/2015,10/02/2015,U.S. Army Corps of Engineers,,CA
Northwest Training and Testing,Final,11/02/2015,10/02/2015,United States Navy,"USCG, NMFS",AK - WA - CA - OR
Link Light Rail Operations and Maintenance Facility,Final,10/30/2015,10/02/2015,Federal Transit Administration,USACE,WA
Geary Corridor Bus Rapid Transit Project,Draft,11/12/2015,10/02/2015,Federal Transit Administration,,CA
"Update of the Water Control Manual for the Apalachicola-Chattahoochee-Flint River Basin in Alabama, Florida, and Georgia and Water Supply Storage Assessment",Draft,02/01/2016,10/02/2015,U.S. Army Corps of Engineers,,GA - AL - FL - GA
LeClerc Creek Grazing Allotment Management Planning,Draft,12/16/2015,10/02/2015,Forest Service,,WA
Long Beach Watershed,Final Supplement,11/09/2015,10/02/2015,Natural Resource Conservation Service,,MS
Fort Belvoir Short-Term Projects and Real Property Master Plan Update,Final,,10/02/2015,United States Army,,VA
Motorized Vehicle Use on the Rogue River-Siskiyou National Forest Supplement,Final Supplement,11/02/2015,09/25/2015,Forest Service,,OR
Ala Wai Canal Project,Draft,11/09/2015,09/25/2015,U.S. Army Corps of Engineers,,HI
